w_id,stimulus,translation_en,translation_ru,stimulus_source,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
67,moʁortʃ'u,tail,хвост,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
68,nitʃo,scythe,коса,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
69,dʒinsɨ,jeans,джинсы,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
70,ɡol,goal,гол,loan,r,b,r,b,b,r,r,r,r,r,r,r,b,r,r,b
71,kometa,comet,комета,loan,b,b,b,b,b,b,r,r,b,b,b,b,b,b,b,b
72,lift,lift,лифт,loan,b,b,b,b,b,r,b,b,b,b,b,b,b,b,r,b
73,mijar,head,голова,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
74,tsʲetradzʲ,exercise-book,тетрадь,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
75,plastɨrʲ,plaster,пластырь,loan,r,b,b,r,r,b,b,b,b,r,r,b,b,b,r,b
76,zarʲadka,charging,зарядка,loan,b,b,b,b,b,b,b,b,b,b,r,b,b,b,b,b
77,banan,banana,банан,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
78,ts'ːa,star,звезда,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
79,hunts'ːi,honey,мед,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
80,linʲejka,ruler,линейка,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
81,intʃi,apple,яблоко,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
82,sol,tooth,зуб,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
83,sumka,bag,сумка,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
84,radio,radio,радио,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
85,reʃa,tree,дерево,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
86,tsʲelʲevʲizor,TV,телевизор,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
87,miq'i,road,дорога,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
88,rʲukzak,rucksack,рюкзак,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
89,"ʔʷen, ʁʷen",horn,рог,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
90,dunɡil,hole,яма,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
91,ʃĩwũ,milk,молоко,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
92,ɬen,water,вода,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
93,ritɬ'i,meat,мясо,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
94,ts'ul,staff,палка,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
95,ʁan,flat cake,лепешка,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
96,bank,bank,банк,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
97,bilet,ticket,билет,loan,r,r,r,r,r,b,r,r,r,r,r,r,r,r,r,r
98,raketa,rocket,ракета,loan,b,b,b,b,b,r,b,b,b,b,r,b,b,r,r,b
99,ʃu,grave,могила,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
100,za,fist,кулак,native,r,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
101,paket,package,пакет,loan,r,r,r,r,r,r,r,r,r,r,b,b,r,r,r,b
102,reɬo,sea,море,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
103,qχota,hand palm,ладонь,native,r,r,r,b,r,r,r,r,r,r,r,r,r,r,r,r
104,samolʲot,aeroplane,самолет,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
105,rozʲetka,socket,розетка,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
106,kolxoz,kolkhoz,колхоз,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
